Vin(mV)     mV/div    Vout(V)  V/div    frequency(Hz)
3.66        2         2.72     1 V      20 
3.67        2         3.34     1        50 
3.67        2         3.46     1.2      100
3.67        2         3.49     1.2      200
3.67        2         3.50     1.2      500
3.67        2         3.50     1.2      1000
3.69        2         3.46     1.2      2000
3.71        2         3.41     1        3000
3.72        2         3.33     1        4000
3.71        2         3.22     1        5000
3.72        2         3.12     1        6000
3.73        2         2.99     1        7000
3.73        2         2.87     1        8000
3.73        2         2.74     1        9000
3.72        2         2.61     1        10000
3.72        2         2.50     1        11000
3.73        2         2.39     1        12000
3.72        2         2.27     1        13000
3.71        2         2.17     1        14000
3.71        2         2.08     1        15000




